id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2893373,Thu Apr 07 2016 17:07:19 GMT+0900 (GMT+9),2016-04-07,2016-04-07 08:07:19 UTC,Osaka,52828,andybridges,2016-04-07 11:21:58 UTC,2019-02-26 12:51:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2893373,https://inaturalist-open-data.s3.amazonaws.com/photos/3308985/medium.jpg?1460028202,,"",,2,0,false,3,"1, Nakajimacho, Naka-Ku, Hiroshima, Hiroshima, JP",34.391875,132.4536883333,,,,open,false,,,Moineau friquet,Passer montanus,Eurasian Tree Sparrow,Aves,13851
4526580,2016-10-07,2016-10-07,,Eastern Time (US & Canada),332372,persona801,2016-11-10 16:48:06 UTC,2016-11-11 15:44:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4526580,https://inaturalist-open-data.s3.amazonaws.com/photos/5482139/medium.jpg?1478796489,,"","",1,0,false,,shuukei-en,34.399732,132.467483,54,54,,,false,,,Argynnis hyperbius,Argynnis hyperbius,Tropical Fritillary,Insecta,323769
4526602,2015-10-07,2015-10-07,,Tokyo,332372,persona801,2016-11-10 16:52:10 UTC,2021-09-27 05:43:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4526602,https://inaturalist-open-data.s3.amazonaws.com/photos/5482166/medium.jpg?1478796732,,"","",3,0,false,,Shuukeien,34.399971,132.467579,54,54,,open,false,,,Little Egret,Egretta garzetta,Little Egret,Aves,4943
4526630,2015-10-07,2015-10-07,,Eastern Time (US & Canada),332372,persona801,2016-11-10 16:54:32 UTC,2019-06-29 00:13:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4526630,https://inaturalist-open-data.s3.amazonaws.com/photos/5482183/medium.jpeg?1478796874,,"","",1,0,false,,Shuukeien,34.399732,132.467483,54,54,,,false,,,Jorō Spider,Trichonephila clavata,Jorō Spider,Arachnida,904334
4526672,2015-10-07,2015-10-07,,Eastern Time (US & Canada),332372,persona801,2016-11-10 17:00:44 UTC,2021-07-15 20:02:35 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4526672,https://inaturalist-open-data.s3.amazonaws.com/photos/5482241/medium.jpeg?1478797247,,"","",2,0,false,,Shuukeien,34.399739,132.467464,54,54,,open,false,,,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
5920834,2017-04-18 11:10:57 am GMT+09:00,2017-04-18,2017-04-18 02:10:57 UTC,Osaka,94627,amarzee,2017-04-23 14:53:24 UTC,2018-05-07 17:27:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5920834,https://inaturalist-open-data.s3.amazonaws.com/photos/7387004/medium.jpeg?1492959214,,"",,1,0,false,2,"Akebono Dori Minami-ku, Hiroshima-shi, Hiroshima-ken",34.393611908,132.4755554199,,,,open,false,gps,gps,Carrion Crow,Corvus corone,Carrion Crow,Aves,204496
5920860,2017-04-18 11:16:30 am GMT+09:00,2017-04-18,2017-04-18 02:16:30 UTC,Osaka,94627,amarzee,2017-04-23 14:54:59 UTC,2019-03-24 09:02:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5920860,https://inaturalist-open-data.s3.amazonaws.com/photos/7387045/medium.jpeg?1492959319,,"",,4,0,false,2,"Jonan Dori 1 Kyōbashichō Minami-ku, Hiroshima-shi, Hiroshima-ken 732-0828",34.3952789307,132.4733276367,,,,open,false,gps,gps,Grey Heron,Ardea cinerea,Grey Heron,Aves,4954
5920878,2017-04-18 11:17:34 am GMT+09:00,2017-04-18,2017-04-18 02:17:34 UTC,Osaka,94627,amarzee,2017-04-23 14:56:37 UTC,2017-05-25 22:06:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5920878,https://inaturalist-open-data.s3.amazonaws.com/photos/7387075/medium.jpeg?1492959410,,"",,1,0,false,2,"Jonan Dori Kyōbashichō Minami-ku, Hiroshima-shi, Hiroshima-ken 732-0828",34.3955574036,132.4727783203,,,,open,false,gps,gps,White-cheeked Starling,Spodiopsar cineraceus,White-cheeked Starling,Aves,547179
5920887,2017-04-18 11:18:24 am GMT+09:00,2017-04-18,2017-04-18 02:18:24 UTC,Osaka,94627,amarzee,2017-04-23 14:58:10 UTC,2021-07-15 20:02:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5920887,https://inaturalist-open-data.s3.amazonaws.com/photos/7387082/medium.jpeg?1492959506,,"",,3,0,false,2,"Jonan Dori Kyōbashichō Minami-ku, Hiroshima-shi, Hiroshima-ken 732-0828",34.3955574036,132.4727783203,,,,open,false,gps,gps,Colombo domestico,Columba livia domestica,Feral Pigeon,Aves,122767
5920932,2017-04-18 11:18:36 am GMT+09:00,2017-04-18,2017-04-18 02:18:36 UTC,Osaka,94627,amarzee,2017-04-23 15:03:36 UTC,2019-01-23 10:02:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5920932,https://inaturalist-open-data.s3.amazonaws.com/photos/7387148/medium.jpeg?1492959832,,"",,2,0,false,2,"Jonan Dori Kyōbashichō Minami-ku, Hiroshima-shi, Hiroshima-ken 732-0828",34.3955574036,132.4727783203,,,,open,false,gps,gps,Dusky Thrush,Turdus eunomus,Dusky Thrush,Aves,145087
